,txt,score
0,"Telewizor ładny ale to wszystko co mogę o nim powiedzieć, zaraz po pierwszym uruchomieniu i skonfigurowaniu ujawniła się usterka .Telewizor prześwietlił matrycę pokazały się  okropne jasne chmury obraz mocno zamglony i  bez powodu się wyłączył a następnie po kilku sekundach włączył i tak cały czas , włącza się i wyłącza sam automatycznie nie reaguje na polecenia pilota ani przycisk wyłączający przy telewizorze.<br/>
Zgłosiłem sprawę do serwisu i czekam na naprawę.","0,5/5"
0,"Bardzo słabe oprogramowanie jak na TV za taką cenę. Nie można ustawić jednej listy ulubionych z programami sat. i naziemnymi. EPG tylko z góry na dół ,tak samo ustawianie ulubionych , nie można ustawić w pętli. Byle jaki chiński tuner za 400zł  to potrafi a najnowszy Samsung nie. Po ustawieniu listy ulubionych trzeba jeszcze ręcznie zmienić numer każdemu kanałowi .Żeby oglądać satelitę trzeba wyjść z naziemnej i przełączyć na sat i odwrotnie co jest bardzo denerwujące. Google chromecast za 200zł lepiej działa niż ten w samsungu. Pilot i menu trudne do opanowania i wkurzające. Jeśli chcesz oglądać sat i naziemną lepiej kupić tańszy TV + tuner z enigmą + chromecast niż tracić tyle kasy i nerwy.","1,5/5"
0,"Po wysłuchaniu kilku recenzji najbardziej obawiałem się kontrastu na wyświetlaczu, gdyż mamy tutaj do czynienia z panelem IPS. Obawy raczej bezpodstawne. Dla przeciętnego użytkownika, który nie porównuje ze spektroskopem poziomów czerni obraz jest rewelacyjny – piękne naturalne kolory, równomierne podświetlenie, super czerń, nie ma problemu gdy oglądamy trochę z boku (co ważne gdy mamy dużą kanapę). Najlepszy efekt osiągamy, gdy mamy dobre źródło obrazu w formacie 4K z HDR i siedzimy w miarę blisko ekranu, tak do max 2 m. Jeśli oglądamy zwykłą TV z anteny, to już takich rewelacyjnych wrażeń nie ma, a jeśli źródło nie jest chociaż w formacie FullHD, to już w ogóle traci sens zakup tego TV, lepiej wybrać coś tańszego. Aby wykorzystać potencjał TV trzeba go wstępnie ustawić – polecam ustawienia z serwisu rtings.com.<br/>
Jeśli miałbym oceniać tylko sam wyświetlacz to byłoby 5/5.<br/>
Gorzej jeśli idzie o oprogramowanie. System Smart działa błyskawicznie, ma wszystkie potrzebne aplikacje działa bezproblemowo – to duży plus. Tyle że wiele funkcji, którymi Samsung chwali się w reklamach i wznosiłby by ten TV na poziom genialności nie działa lub w Polsce jest nieprzydatne. <br/>
1.	Asystent głosowy jest wbrew zapewnieniom producenta tylko po angielsku. Nie rozumie polskiego języka. Asystent Google który miał być kompatybilny z TV, w polskiej wersji nie istnieje. Mamy więc ważną funkcję, pilota do którego możemy mówić i nic nam to nie daje. <br/>
2.	Łączenie TV z komputerem. W moim starym Samsungu miałem aplikację Smart View, która może była dość toporna, ale umożliwiała rzucanie z komputera np. zdjęć na ekran TV. Samsung tę aplikację ubił i zastąpił aplikację Easy Connection to Screen, która nie działa. Opcja Połącz z urządzeniem, na moim Windows z jakiegoś powodu nie działa, mimo że komputer TV widzi. Efekt taki, że mam znacznie nowszy i droższy sprzęt, a pod tym względem jest gorzej niż w 7 letnim TV.<br/>
3.	Opcja MultiView – Samsung chwali się, że można np. oglądać mecz i czytać komentarze na Twitterze. Wydawałoby się, że to będzie działać również gdy oglądając film na Netflix będziemy chcieli wrzucić sobie z komórki informacje o filmie. Ale nie. Opcja działa tylko jeśli oglądamy telewizję z kabla czy anteny. Z aplikacji działa tylko z Youtube. Ja nie korzystam w ogóle z telewizji, więc opcja MultiView zajmuje mi tylko miejsce w menu. <br/>
4.	Mamy preinstalowaną aplikację Galeria. Potencjalnie genialne rozwiązanie, gdyby działało tak, że Galeria łączy się z chmurą w której mam zdjęcia robione w moim telefonie Samsung. Miałbym na bieżąco uzupełnianą galerię zdjęć, którą można by przejrzeć na TV. Ale nie, Samsung wymaga tworzenia jakichś specjalnych udostępnionych albumów, nie mam komu ich udostępniać, więc aplikacja Galeria jest zupełnie pusta. <br/>
<br/>
Reasumując pięknie wyglądający sprzęt, ze świetnym wyświetlaczem i niedopracowanym (szczególnie dla Polski) oprogramowaniem. <br/>
",4/5
0,"To nasz kolejny telewizor marki Samsung i kolejny raz trafiony wybór :)<br/>
Na ścianie prezentuje się fantastycznie. Jest smukły i elegancki. Niesamowita głębia kolorów i czysty dźwięk sprawiają, że oglądając film można poczuć się jak na seansie w kinie. Dostępne są aplikacje YouTube, Netflix, Amazon Prime czy HBO GO. Ciekawym rozwiązaniem jest także dołączony pilot Smart ładowany na baterię słoneczną. Telewizor posiada Tuner DVB T2 (HEVC), gotowy jest więc na poprawny odbiór sygnału cyfrowego w 2022 r. <br/>
Polecam serdecznie. To idealny zakup dla całej rodziny. <br/>
#AkcjaKorzyscWkazdymCalu<br/>
",5/5
0,"Przystępna cena, jak za taką jakość. Telewizor dosłownie prowadzi za rękę z konfiguracją wszystkich parametrów, przez telefon jest jeszcze prostsze niż odklikiwanie na pilocie. Ze względu na rodzaj wykonywanej pracy mam bzika na punkcie ustawienia kolorystyki telewizora, a tu praktycznie robiłem tylko pomniejsze korekty ustawień obrazu. Przyznam, że Samsung sprawił się zarówno pod kątem jakości wykonania samego telewizora jak i oprogramowania. <br/>
Jedyny minus to słabe opisywanie swoich modeli. Wpisują rodzaj użytej technologii i nie do końca wyjaśniają jej formę. W moim przypadku musiałem trochę pogrzebać po internecie aby ostatecznie zdecydować się na serię 8. Serie 6 i 7 zeszłorocznych modeli telewizorów to w zasadzie podświetlenie krawędziowe matrycy, któremu osobiście nie do końca ufam. ",5/5
0,"*SAMSUNG na którego czekałem*<br/>
<br/>
To już kolejny telewizor firmy Samsung który zagościł w moim domu. Niesamowita jakość obrazu przykuła mój wzrok w momencie wejścia do sklepu, gdy dodamy do tego świetne 60 watowe głośniki robi się w domu małe kino! Największymi zaletami tego telewizora w mojej opinii to właśnie obraz który dzięki swojej 120hz matrycy pozwala na bardzo komfortowe oglądanie wszystkich gatunków filmów, dźwięk jest bardzo przestrzenny dzięki czemu można bardziej wczuć się w oglądany film! Złącze hdmi 2.1 pozwala na wykorzystanie w stu procentach podpiętej do niego konsoli. Neo Qled zrobił na mnie wrażenie od pierwszego wejrzenia.Szybkość działania tv i jego menu jest zdecydowanie na plus – poruszanie się po menu jest rewelacyjne . Mini ledy biją konkurencję w wyższym przedziale cenowym z wykorzystaniem technologii Oled. Kolory, ostrość obrazu w 4K, kontrast, czerń, jasność są rewelacyjne.Tv ma super obraz zarówno w jasnym jak i ciemnym pomieszczeniu.Sprzęt godny polecenia!!! #AkcjaKorzyscWkazdymCalu.",5/5
0,"#AkcjaKorzyscWkazdymCalu <br/>
Jestem bardzo zadowolony z zakupu telewizora Neo QLED Samsunga. W jasnym salonie telewizor sprawdza się świetnie, fajne kolory patrząc na wprost jak i pod dużym kątem, jasność ekranu i rewelacyjny dźwięk z 60W głośników. Smart TV i wszystkie funkcje, które dopiero poznaję robią bardzo dobre wrażenie i w mojej ocenie są dosyć łatwe do opanowania i zabawa nimi daje dużo frajdy. Telewizor jak na mój gust bardzo dobrze prezentuje się i poprawia widok salonu. Podoba mi się także prosty (wręcz ""ascetyczny""), mały pilot do telewizora, który jest łatwy w obsłudze. Decyzje o zakupie telewizora Samsunga podjąłem po tygodniu przeglądania ofert, czytania opinii i recenzji. Początkowo chciałem kupić OLEDa w podobnej cenie ale w związku z tym, że ta technologia (pomimo tego, że jest bardzo nowoczesna} to nie do końca sprawdza się w jasnych pokojach ze względu na stosunkową nisko jasność ekranu, zdecydowałem się na Neo QLED Samsunga i się udało :-}. POLECAM",5/5
0,Kawał solidnego telewizora. Spodobało mi się poglośnienie telewizora gdy wszedłem do pokoju z odkurzaczem. Poza tym świetny o raz po podłączeniu PC.,4/5
0,"Ogólnie dobry telewizor<br/>
Przed włączeniem telewizora pierwsze wrażenie - telewizor cienki i elegancki, bardzo dobrze się prezentuje. To zdanie z opisu zdecydowanie tu pasuje: ""Pełen wdzięku, ultra smukły design telewizora QN85A sprawia, że prezentuje się on wyśmienicie z każdej strony, a na ścianie wygląda niczym dzieło sztuki"". Do tego dochodzi pilot na którym na pierwszy rzut oka znajduje się mało przycisków, na poprzednim pilocie miałem ponad 40 przycisków, tutaj nie ma nawet 20, ale dwa razy lepiej się go obsługuje. Do tego pilota można naładować energią słoneczną! Funkcja, która pozwala włączyć telewizor telefonem, a także głos który dostosowuje się do otoczenia i wiele innych, które najlepiej samemu sprawdzić ! #AkcjaKorzyscWkazdymCalu","4,5/5"
0,"Zdecydowałem się na zakup telewizora Samsung Neo QLED 2021 QE55QN85A po przeczytaniu kilku opinii w internecie oraz po rozmowie ze sprzedawcami z dwóch różnych dużych sieci zajmujących się sprzedażą sprzętu RTV. Telewizor kupiłem w sklepie internetowym kajt24.pl ponieważ był 500 zł tańszy niż w sklepach stacjonarnych. Co do obsługi sprzedażowej sklepu nie mam żadnych zastrzeżeń. Telewizor został dostarczony w ciągu 3 dni roboczych. Co prawda nie był fabrycznie zapakowany (brak taśm ściągających pudło oraz taśma firmowa sklepu), ale być może obsługa sklepu sprawdza przed wysyłką czy matryca nie jest uszkodzona mechanicznie. <br/>
Wygląd: moim zdaniem telewizor może się podobać, jest bardzo cienki, w porównaniu do innych telewizorów z tylnym podświetlaniem jest ok. 4 razy cieńszy. Wygląda bardzo elegancko dzięki cieniutkiej metalowej ramce wokół ekranu. Oczywiście wygląd to kwestia gustu, ale w moim odczuciu może się podobać. Pilot nie wszystkim przypadnie do gustu, szczególnie tradycjonalistom przyzwyczajonym do klawiszy numerycznych. Tych po prostu na pilocie nie ma. Co prawda pilot oferuje obsługę głosową, ale w języku angielskim. Jeden ze sprzedawców twierdził, że obsługuje również asystenta google, ale ja go na razie nie odkryłem, korzystam z samsungowskiego bixby. Duży plus za ładowanie światłem i możliwość ładowania ładowarką smartfona.<br/>
Podłączenie: Instalacja zajęła mi dosłownie 10 minut łącznie z podłączeniem wszystkich kabli. Po włączeniu telewizora, na ekranie pojawiły się pytania i opcje do wyboru, wszystko przebiegło bez żadnych problemów. Telewizor również pobrał najnowszą aktualizacje po skonfigurowaniu wifi. Również skonfigurowanie obsługi przez telefon jest bardzo proste.<br/>
Obraz: Po włączeniu telewizora obraz robi bardzo dobre wrażenie. Kontrast bardzo dobry, kolory głębokie i naturalne, w 4K obraz doskonały, na PS4 również bez zarzutu, podobnie jeśli chodzi o płyty blu-ray. Z dekodera Vectry, w zależności od kanału, obraz jest raz lepszy, raz odrobinę gorszy, generalnie jest naprawdę dobrze. Problem z obrazem zauważyłem dopiero wieczorem, przy zgaszonym świetle i oglądaniu serialu na Netflixie przy ciemnych scenach, zauważyłem duże jaśniejsze plamy, szczególnie w jednym rogów ekranu plama była stosunkowo duża. Wyglądało to jakby matryca była nierówno podświetlana. Na drugi dzień zgłosiłem zauważony problem pomocy technicznej Samsunga. Wykonałem zdjęcia ekranu i przesłałem do pomocy technicznej. Niestety, pomimo tego, że rozmawiałem z 3 różnymi osobami, żadna z nich nie potrafiła skutecznie rozwiązać zauważonego problemu. Kazano mi wyłączyć urządzenie z gniazdka, odłączyć podłączone urządzenia, proszono o przesłanie dodatkowych zdjęć ekranu z testowym obrazem samsunga itp. W końcu zaproponowano mi zgłoszenie uszkodzenia, ale jednocześnie poinformowano mnie, że jeżeli technicy stwierdzą, że obraz jest OK., będę musiał pokryć wszystkie koszty związane z przesyłką i ekspertyzą. W związku z tym zdecydowałem się poszukać rozwiązania problemu na własną rękę. Trochę to trwało, ale znalazłem na YouTubie recenzję tego modelu Samsunga z USA, w którym zauważony przeze mnie problem został omówiony szczegółowo i co więcej, wyjaśniono co należy zmienić w ustawieniach fabrycznych, aby problem nierównomiernego podświetlania zniknął. Zmiana ustawień zajęła mi minutę i od tej chwili cieszę się praktycznie nieskazitelnym obrazem. Szkoda, że pracownicy pomocy technicznej Samsunga nie mają wiedzy w jaki sposób podobne problemy rozwiązać. Po co to tym piszę? Jeżeli ktoś kupi ten telewizor za prawie 5 tyś. zł, wyjmie z pudła, włączy na ustawieniach fabrycznych spodziewając się idealnego obrazu to może się rozczarować. Ten telewizor oferuje naprawdę dobry obraz, ale wymaga indywidualnych ustawień.<br/>
Dźwięk: Moim zdaniem telewizor oferuje dobry dźwięk. Mój poprzedni telewizor (SONY KDL-55W809C) aby brzmieć dobrze musiał być podłączony do kina domowego, w przypadku Samsunga, do oglądania telewizji głośniki telewizora w zupełności wystarczą. Jeśli chodzi o filmy, czy PS, tutaj oczywiście głośniki telewizora to za mało.<br/>
Podsumowanie: Moim zdaniem, Samsung Neo QLED 2021 QE55QN85A, to bardzo dobry telewizor, oferujący bardzo dobry obraz ALE wymaga indywidualnych ustawień. Czy jest wart prawie 5 tyś. zł? Nie mam porównania z telewizorami z niższej półki cenowej (2-3 tyś), ale mam wrażenie, że cena jest odrobinę za wysoka.<br/>
<br/>
Zdjęcia pokazują obraz na ustawieniach fabrycznych.","4,5/5"
0,"Bardzo polecam. Jest drogi, są tańsze w tej klasie ale warto. Belka dźwiękowa robi robotę. Android 11,    Android Tv. Parametry zresztą jak w każdym trzeba utawic samodzielnie żeby wycisnąć maksa. Dwa piloty, ten mniejszy wystarcza. Po podłączenia komputera mam super monitor. ",5/5
0,10 dni temu zamowilem i do chwili obecnej po mojej interwencji przesyłka została nadana.. wstyd!!!!!!,1/5
0,"4,5/5","4,5/5"
0,Ok,5/5
0,Dobra jakosc,5/5
0,Cena jakość ok,5/5
0,Spełnił oczekiwania ,5/5
0,Jestem bardzo zadowolony,5/5
0,Wszystko ok,5/5
0,"W pewien słoneczny wtorek postanowiłem, że chciałbym połączyć komputer stacjonarny z telewizorem tak, aby wyświetlać na telewizorze treści z komputera. Niestety dostęp do mojego telewizora jest mocno ograniczony, przez co nie mogę pozwolić sobie na ciągłe podłączanie o odłączanie standardowego kabla HDMI. Ten wspaniały przedłużacz ogromnie mi ten proces ułatwia. Jest podłączony na stałe i dzięki temu podłączenie do niego kabla HDMI jest szybkie i proste. Spełnia on wszystkie moje oczekiwania.",5/5
0,"TV który kupowałem był poniżej ceny rynkowej, więc obawy były. Ale wszystko okazało się ok. TV fabrycznie nowy, zapakowany oryginalnie. Kontakt ze sklepem również szybki i bezproblemowy. Polecam :) ",5/5
0,"Jakość obrazu bardzo dobra , szczególnie zwróciłem uwagę na głęboką czerń a nie jakieś odcienie szarości jak to było we poprzednich telewizorach led. Tylko ta cena jak na 42 calowy odbiornik trochę wysoka.","4,5/5"
0,Genialny telewizor. Odejmuję pół gwiazdki ponieważ do ukazania pełni możliwości system wymaga kalibracji oraz kabel zasilania jest na stałe przymocowany do obudowy co utrudnia montaż na ścianie (jeśli prowadzimy kabel przez wewnętrzną rynnę.,"4,5/5"
0,"Świetnie wykonany, może tylko ramka ekranu mogłaby być bardziej masywna, nie taka filigranowa. Matryca ekranu znakomita, ale dopiero po pracy własnej nad ustawieniami obrazu, bo te fabryczne pozostawiają wiele do życzenia.<br/>
Doskonały pilot, wymaga jednak przyzwyczajenia do joysticka i punktowego wskaźnika ekranu w zakresie menu.",5/5
0,Wszystko ok 🙂,5/5
0,Super TV Polecam!!!!!!,5/5
0, jest super jednak po tygodniu trudno ocenić niezawodność w dłuższy czasie,5/5
0,Super telewizor. Bardzo dużo udogodnień w obsłudze. Obraz brzytwa. Gorąco polecam ,5/5
0,"Wszystko super. Jakość obrazu, dźwięku naprawdę dobra. Szybkość działania rewelacja, poprzedni TV na androidzie....",5/5
0,"Rewelacyjny telewizor: nieskończony kontrast, piękne kolory i czerń głęboka jak to w oledach bywa. Umiejscowiony w sypialni z roletami w oknie więc seans filmowy jest klimatyczny. Polecam.",5/5
0,"Porażka, kąt widzenia uwzględnia tylko patrzenie na wprost, już przy 45⁰ obraz blednie , zanikają kolory, ekran ma 39,3 cała nie 40 jak podaje producent , estetyka wykonania słaba, i cena bardzo wygórowana.",2/5
0,"OGÓLNIE  NIE NAJGORZEJ, SZYBKI CZAS DOSTAWY ALE...      BRAK GWARANCJI W ŚRODKU I INSTRUKCJI PO POLSKU, INSTRUKCJA JAKO TAKA  JEST JAKAŚ MIĘDZYNARODOWA ( MNIEMAM, ŻE W JĘZYKU KRAJÓW TRAKTOWANYCH POWAZNIEJ NIŻ POLSKA). ","2,5/5"
0,"Rozczarował mnie. Cenię tą firmę, bo wcześniej miałem plazmę z tej firmy i prawie wszystko działało. Obraz w tamtym był super. W nowym nie mogę ustawić kolorów. Są nienaturalne, plastikowe. I wydaje mi się, że sam telewizor przestawia ustawienia obrazu. Nakombinowałem się z ustawieniami, ale ciągle nie to. Druga sprawa to ustawienia kanałów ulubionych, których nie można ustawić. I tak w telewizji naziemnej (tylko mam taką), ostatni kanał to ten z numerem 809. Trzeci minus za pilota, który jest mało intuicyjny. Powstawiano przyciski nieznanych, obcojęzycznych, płatnych serwisów telewizyjnych, z których nie korzystam, w podstawowe przyciski, gdzie powinien być program telewizyjny. Wyciszenia dźwięku wieczorem, bez światła nie znajdziesz. Plus za androida, choć brak wielu aplikacji, które by się przydały. Plus za Youtuba i przycisk  na pilocie..  ",2/5
0,Ok,5/5
0,Jest dla mnie wystrczająco satysfakcjonujący,5/5
0,Panasonic trochę rozczarowuje rodzajem materiału z którego został wykonany,"3,5/5"
0,Zdecydowanie polecam. Jedyna wada to rozstaw nóżek. ,"4,5/5"
0,"Jest tylko skrócona instrukcja obsługi - fatalna. Instrukcja którą można wyświetlić w odbiorniku - to tylko hasła, brak przykładów ustawiania. Brak możliwości ustawienia czasu wyświetlania baneru informacyjnego , ani ustawienia wielkości liter na tym banerze - te ustawione fabrycznie są małe i niewyraźne i znkają po 3 sekundach .  Mam  też 10-cio letniego Panasonica 37 cali - w którym wszystko ustawia się b. dobrze i intuicyjnie - oraz jest szczegółowa instrukcja osługi. W tym nowym żeby przestawić kanały wg własnych upodobań - to wyższa szkoła jazdy.","3,5/5"
0,PRODUKT ŚWIETNY. A DZWIĘK MEGA,5/5
0,Głośnik bardzo dobry glosny bass  git jak za taką cene,5/5
0,Jakość wykonania najlepsza tak samo czystość i brzmienie dźwięku. Genialny głośnik za przyzwoite pieniądze. Polecam ,5/5
0,"Matryca posiada ciemną smugę z obu stron, to chyba nie jest ok, załączam zdjęcia... Najbardziej widać gdy jest jasny obraz a otoczenie jest ciemne. To nie jest odbicie ani tłusta smuga.","2,5/5"
0,"Śliczny telewizorek bardzo już nowoczesny ze wszystkimi ważnymi opcjami, Piękny obraz. Łatwa obsługa.","4,5/5"
0,Bardzo dobry telewizor.Dla starszych użytkowników polecam wymienić od razu pilot np.na taki z ikonką Smart w środku.Kupiłbym go jeszcze raz.,5/5
0,Jakość dźwięku i obrazu bardzo dobra jak za telewizor 1600zl 50cali,5/5
0,"Każdorazowo należy wejść w ustawienia aby np ustawić czasowe wyłączenie. Pilot ma tylko kilka przycisków, Jest mało funkcjonalny.",4/5
0,"TV jak i pilot trudny w obsłudze. Nawet człowiek, który miał ze strony dostawcy, uruchomić sprzęt, miał problem z jego uruchomieniem. Nie wszystko jest jeszcze ustawione jak bym chciała. ",4/5
0,"Telewizor ogólnie OK - zgodny z tym co obiecuje producent. Dosyć łatwa procedura pierwszego uruchomienia, choć kłopotliwe jest wpisywanie haseł za pomocą pilota, a za pomocą aplikacj SmartThings w telefonie też nie jest to takie wbrew obietnicom wszystko proste, jak się wcześniej z tej aplikacji nie korzystało. Funkcjonalność malutkiego pilota też jest na początku trochę frustrująca jak się ma duże dłonie, szczególnie trafianie w odpowiednie miejsca na kółku wyboru. Byłoby wygodniej mieć krzyżak niż takie kółko, gdzie nie wiadomo dokładnie gdzie nacisnąć, zwłaszcza po ciemku. Obraz jak dla mnie całkowicie OK, choć momentami telewizor jest przesadnie ""smart"" - zwłaszcza w tak zwanym trybie ""naturalnym"" obrazu filmowego potrafi przesadnie podkręcać detale ostrym kontrastem w filmach HD, daje to efekt taki, że postać na pierwszym planie sprawia wrażenie jakby była ""wyjęta"" z tła. Na szczęście jest tryb ""filmaker"", który tego nie robi. W trybie gier trzeba na początku trochę zegrać ustawienia konsoli (w moim przypadku X-box) z tym trybem, bo na dzień dobry ten tryb jest zbyt jasny i wypala kolory. W zasadzie we wszystkich grach, które mają tą funkcję trzeba ustawiać gammę mając pewność, że się ten tryb uruchomił, natomiast w grach bez możliwości regulowania gammy, trzeba ew. wyłączyć ten tryb. Natomiast trzeba oddać sprawiedliwość, że jak się to już ureguluje to ten tryb naprawdę pomaga grać i załącza się całkiem automatycznie. Jest to na tyle sprytne, że np: gdy się ogląda filmy przez X-boxa, to telewizor wraca sam do ustawień filmowych. Z drobnych niedogodności - telewizor jest sprzedawany z dość krótkim kablem zasilającym (1,5 m), na szczęście wejście jest standardowe, więc nie ma problemu z dokupieniem dłuższego.",4/5
0,"Super telewizor, myślałam że będzie trochę mniejszy, ale jest super! Zgodny z tym co obiecuje producent. Dosyć łatwa procedura pierwszego uruchomienia. Spełnił wszystkie moje oczekiwania, wiec serdecznie polecam go :)",5/5
0,"telewizor troszkę wolno reaguję przy przełączaniu pomiędzy platformami (disney, amazon,netflix).nie wiem czym to spowodowne, ale przy oglądaniu kanałów cyfrowego polsatu musimy ustawiać glośność na min 40, natomiast przy platformach streamingowych  wystarczy 10-15.<br/>
Pilot łatwy w obsłudze - 65letni ojciec w 30 min  go opanował - kwestia przyzwyczajenia",4/5
0,"Obraz nie jest ciemny ani prześwietlony, po utworzeniu/zalogowania się na konto Samsung uzyskałem dostęp do wszystkich aplikacji (nie wiem co by było, gdybym się nie zalogował, ale ta czynność wydawała mi się oczywista, aby korzystać z systemu i prawidłowo migrować dane użytkowania), przetestowałem połączenie konsoli Switch, log do Netflixa, hbo, share ekranu z windows laptop (nawet bez użycia dedykowanej aplikacji do zainstalowania opcjonalnego na laptopie) oraz share z telefonem z iOS. Wszystko działa bez zarzutów. Minus/Plus - minimalistyczny pilot (cyferki, kolorki należy wywołać odrębnie dedykowanym przyciskiem), Minus - brak szybkiego przycisku do zmiany źródła (albo nie wiem jak to zrobić), należy wywołać menu główne i przeskoczyć równolegle na źródło, a następnie w górę na wybór.",4/5
0,Tv w porządku obraz i dźwięk dobre,"4,5/5"
0,"Jeszcze nie wiem.Czekam na syna,aby mi zanotowała telewizor.","4,5/5"
0,"Dobra jakość wykonania,lekki,obraz wyraźny.Jak za tą cenę to warto kupić.",4/5
0,"Telewizor jak telewizor, działa bez zarzutu ",5/5
0,Mały telewizor do małych pomieszczeń z idealnym obrazem i do tego w dobrej cenie,5/5
0,"Brak złącza euro, szkoda, telewizor dobrze wykonany",4/5
0,Samsung. Nic dodać nic odjąć. Wszystko ok.,5/5
0,Jak uruchomiłem to ok. Tylko za dużo przerozności jest w tym tv,5/5
0,Jak za 760zł to super i w dodatku smart tv.,5/5
0,"Trochę pochylony, ale może w ten sposób obraz jest lepszej jakości ","4,5/5"
0,"Nabyłem 75ZH8 miesiąc temu. Cena 21 000 zł. Więcej rozczarowań niż pozytywnych wrażeń. Jest to telewizor 8K. Myślę, że SONY nie przewidziało, że już teraz można oglądać materiały 8K na YOU TUBIE. Niestety tylko w 4K, ponieważ ten telewizor nie posiada kodeka AV1 (LG, SAMSUNG posiadają). Druga sprawa to zapewnienie SONY, że ten telewizor będzie wyświetlał nawet materiały 2k w rozdzielczości 8K. Nowy procesor, dodatkowe dwie technologie maja tego dokonywać. Niestety tylko na papierze w ulotkach marketingowych. W rzeczywistości niestety NIE! Na ten moment można powiedzieć, że 10 000 zł wyrzucone w psu pod ogon, bo to co mogę dziś oglądać na ZH8 obejrzę na XH95 za 11 000 zł. Pozostałe funkcje OK! Jak u SONY. Kolory, kontrast, dźwięk, super!",3/5
0,"Bardzo dobry obraz, niezły dźwięk, łatwa obsługa (Google TV na prawdę się sprawdza).",5/5
0,"Jakość obrazu i dźwięku zachwyca, internet w TV bardzo użyteczny, obsługa intuicyjnie prosta. Polecam",5/5
0,"Przyciemnione narożniki, internet po kablu do 100Mb co jest porażką,",4/5
0,"Bardzo dobry, mały minus za drobiazgi typy lekkie zaciemnienie narożników, pilot bez podświetlenia.","4,5/5"
0,"Telewizor świetniej jakości, to mój trzeci. Jakość oglądania jest rewelacyjna. Streaming to czysta przyjemność.",5/5
0,"Bardzo dobry obraz, płynne działanie, duży plus za podwójny tuner - można włączyć nagrywanie i oglądać inny program lub YouTube lub w ogóle inną aplikacje. Nagrywanie tylko na hdd ale bez problemu obsługuje 1Tb. Szkoda że nie ma możliwości pauzowania bieżącego programu tv nawet podczas nagrywania. Google TV pracuje płynnie ale aplikacji jest dużo mniej niż w tradycyjnym Androidzie. Super czujnik jasności obrazu - sam przyciemnia i rozjaśnia. Pilot duży ale poręczny, wygodny, dobrze się obsługuje i ma super zasięg - jedynie plastik bardzo toporny zwłaszcza na plecach. Trochę nie radzi sobie z otwieraniem dysku z różnymi treściami - muszą być tylko filmy i zdjęcia - wtedy otworzy. Dźwięk dobry i przestrzenny ale płaski. Ogólnie bardzo dobrze a do drobnostek trzeba się przyzwyczaić",5/5
0,"Świetny telewizor nie jestem żadnym napalonym kino maniakiem a to już mój trzeci  SONY i nie zamienił bym tej marki na żadną inną.<br/>
Zarówno obraz z TV naziemnej jak i z dekodera NC+ igła.",5/5
0,Za tą cenę bez żadnych zarzutów.,5/5
0,"Bardzo dobra jakość obrazu, szybkie działanie poszczególnych funkcji. Super rozwiązanie z dwoma opcjami usadowienia podstawy telewizora",5/5
